display_name,base_model,reasoning_level,release_date,organization,country,training_compute_flop,num_benchmarks,aider_polyglot (Percent correct),apex_agents (Pass@1 score),arc_agi (Score),arc_agi_2 (Score),balrog (Average progress),cad_eval (Overall pass (%)),chess_puzzles (mean_score),cybench (Unguided % Solved),deepresearchbench (Average score),fictionlivebench (120k token score),frontiermath (mean_score),frontiermath_tier_4 (mean_score),gdpval (Win Rate (%)),geobench (ACW Avg Score),gpqa_diamond (mean_score),gso (Score OPT@1),hle (Accuracy),lech_mazur_writing (Mean score),live_bench (Global average),math_level_5 (mean_score),metr_time_horizons (Time horizon),os_world (Score),otis_mock_aime_2024_2025 (mean_score),posttrainbench (Average (%)),simplebench (Score (AVG@5)),simpleqa_verified (mean_score),swe_bench_bash (% Resolved),swe_bench_verified (mean_score),terminalbench (Accuracy mean),vpct (Correct),webdev_arena (Arena Score),weirdml (Accuracy)
Claude 3.7 Sonnet,claude-3-7-sonnet-20250219,32K,2025-02-24,Anthropic,United States of America,3.3499999999999998e+25,5,64.9,,,,,,,,,,0.0344827586206896,,,,0.7676767676767676,,,,,0.9003021148036254,,,0.5333333333333333,,,,,,,,,
o3-mini,o3-mini-2025-01-31,low,2025-01-31,OpenAI,United States of America,,3,,,0.145,0.0,,,,,,,,,,,,,,,62.45,,,,,,,,,,,,,
o3-mini,o3-mini-2025-01-31,medium,2025-01-31,OpenAI,United States of America,,12,53.8,,0.223,0.0208,,0.54,,0.225,,0.438,0.0808189655172413,,,,0.742739898989899,,,6.15,70.01,0.9516616314199396,,,0.6388888888888888,,,,,,,,,
o3-mini,o3-mini-2025-01-31,high,2025-01-31,OpenAI,United States of America,,14,60.4,,0.345,0.0299,,,0.17,,,,0.1241379310344827,0.0416666666666666,,,0.7702020202020202,0.013,,6.17,75.88,0.9648791540785498,,,0.7694444444444445,,0.228,,,,,,,0.437
o1,o1-2024-12-17,low,2024-12-17,OpenAI,United States of America,,1,,,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1,o1-2024-12-17,medium,2024-12-17,OpenAI,United States of America,,11,,,0.307,,,0.56,,,,0.531,,,,3925.0,0.7575757575757576,,,7.02,,0.9441087613293052,39.206576,,0.7333333333333333,,0.367,,,,,0.37,,
o1,o1-2024-12-17,high,2024-12-17,OpenAI,United States of America,,7,61.7,,,,,,,,,,0.093103448275862,,,,0.7676767676767676,,,,75.67,0.947129909365559,,,,,0.401,,,,,,,0.4382
o1-mini,o1-mini-2024-09-12,medium,2024-09-12,OpenAI,United States of America,,10,,,0.14,,,,,0.1,,,0.0172413793103448,,,,0.5950126262626263,,,6.49,57.76,0.8425226586102719,,,0.4472222222222222,,0.181,,,,,,,0.3632
o1-mini,o1-mini-2024-09-12,high,2024-09-12,OpenAI,United States of America,,4,,,,,,,,,,,0.0137931034482758,,,,0.6237373737373737,,,,,0.8918051359516617,,,0.4694444444444444,,,,,,,,,
o1-mini,o1-mini-2024-09-12,unknown,2024-09-12,OpenAI,United States of America,,3,32.9,,0.14,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
